revision,method,frequency_nyquist,radial_power_db,radial_anisotropy_db
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.2890625,-16.87369279827375,-5.7566611940641055
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.3046875,-16.1288960230024,-7.719365083148811
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.3203125,-15.52500927332959,-5.8255962816382105
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.3359375,-14.633259942041706,-3.8978496257256823
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.3515625,-13.465863506061872,-5.435987739477613
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.3671875,-12.305499951606393,-3.1150076487362988
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.3828125,-12.355154103152026,-4.933227234068306
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.3984375,-12.01172863532671,-4.24976730564944
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.4140625,-11.312016779695806,-3.076811751847645
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.4296875,-9.564912408613687,-3.9914810833688548
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.4453125,-10.15364195737236,-4.634185457898356
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.4609375,-9.402008726659712,-5.350504895849531
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.4765625,-8.625916057757134,-4.956205492967562
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.4921875,-8.38248247259391,-3.408252217873755
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.5078125,-7.750773000653561,-3.532960551416291
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.5234375,-6.727259927945742,-2.1289254334609073
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.5390625,-5.991256556435202,-0.5326491432382578
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.5546875,-6.155594664370234,-3.3393004396256765
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.5703125,-5.134760721667791,-2.7037979153519043
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.5859375,-4.189596439235777,0.37774748084316134
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.6015625,-3.6711486774062214,-0.31791436483997504
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.6171875,-3.2575373257535176,1.5900712488526891
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.6328125,-1.3056046962228818,1.7214232708113133
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.6484375,-0.7742825261750158,2.148576251890245
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.6640625,-0.3061119564597603,2.3998724117020993
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.6796875,0.527161718055902,4.797178796886352
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.6953125,0.8671405204000688,3.6722095085954063
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.7109375,0.8286506953194395,4.265749642932237
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.7265625,1.4055277630264948,4.415197325323459
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.7421875,0.9778997370259672,3.0535248848909573
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.7578125,2.104325440364171,2.042642057963174
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.7734375,2.655359949851946,3.194677107381734
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.7890625,4.28854933575135,3.37743840150853
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.8046875,6.038899634841357,6.331068622243329
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.8203125,6.030641289143173,7.730399439264164
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.8359375,4.727234802706798,3.8175460533250574
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.8515625,3.9507291880552025,2.798757415090112
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.8671875,2.9012967411719073,1.9340106591867148
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.8828125,1.558422780823784,-0.18305774257610796
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.8984375,0.5330945982230766,0.2280497534586869
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.9140625,-0.5162950355518783,0.026885154111868294
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.9296875,-0.8901542538877399,-2.4384109092185082
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.9453125,-0.9241776204107295,-1.6351516332128027
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.9609375,-1.5908565558974725,-2.133252599800511
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.9765625,-1.9548954670952765,-3.301238168955081
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.9921875,-2.0923667166574464,-3.8858579446272716
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.0078125,-36.25525630421485,-0.9601700544470848
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.0234375,-42.97636089020387,1.5487967675630414
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.0390625,-40.89070378739826,-0.1286539828603796
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.0546875,-38.33639262484411,-1.2705491212983924
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.0703125,-36.58680186615564,-0.48463827988804564
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.0859375,-35.153274861783515,-2.8249255309967762
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.1015625,-32.151785888054825,-0.904530095500219
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.1171875,-31.061806357509575,-0.9735227289997643
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.1328125,-30.526889881949913,-1.0041464565712939
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.1484375,-29.02477225009757,-2.3087086746696435
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.1640625,-28.508932745362642,-3.556762518241424
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.1796875,-27.368265251954007,-3.491993099829572
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.1953125,-26.38284996066011,-3.1320495576186795
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.2109375,-24.811484387301768,-4.22118019426415
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.2265625,-23.930187421022655,-7.708776341561149
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.2421875,-23.616749912593505,-8.126145585058017
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.2578125,-22.07077640321844,-3.4188106672210505
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.2734375,-21.388473259053935,-8.666854807971827
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.2890625,-20.166022988658526,-7.12305618423331
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.3046875,-20.189197421260353,-9.867865532832331
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.3203125,-19.129767337920022,-9.861216889351427
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.3359375,-17.91754884210176,-7.133526240507409
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.3515625,-16.782302018364323,-9.495152761692724
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.3671875,-15.502017748582501,-7.764685029019108
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.3828125,-15.233864541536217,-7.631725099962136
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.3984375,-14.199015334753176,-6.402508778076623
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.4140625,-13.149755443098538,-4.415866687674327
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.4296875,-12.167103451096244,-4.625830138745993
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.4453125,-11.106582358852625,-3.652817968820394
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.4609375,-9.944630380485702,-2.698185947109402
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.4765625,-8.788936127824826,-3.6803707515150883
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.4921875,-7.610684498309965,-1.6568840406733694
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.5078125,-6.674470185885788,-0.5673094202431185
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.5234375,-5.556366938220577,-1.6256326090190343
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.5390625,-4.573353566645879,-0.9452507879947238
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.5546875,-3.34093046612695,-0.86779319580082
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.5703125,-2.581170296271704,-1.1559379639361214
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.5859375,-1.3472741382377038,-1.74805001419801
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.6015625,-0.4993413504264873,-1.2610130554092749
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.6171875,0.9078456637921052,-0.8143518764745517
