name,colors,threads,normal_bytes,or_bytes,size_ratio,normal_ms,or_ms,cli_speedup,indexed_speedup,changed_pixels,alpha_changed_pixels,normal_msssim,or_msssim,normal_deltae,or_deltae
picsum-69-p256-t1,256,1,688210,513480,0.7461094723994129,81.3024580002093,61.43829200118489,1.3233189815667614,9.079300528670192,0,0,0.995714,0.995714,2.795824,2.795824
picsum-70-p256-t1,256,1,881314,557037,0.6320528211284514,75.50133299992012,46.40516600011324,1.6270027565408534,12.524472741742937,0,0,0.997108,0.997108,2.610844,2.610844
picsum-71-p256-t1,256,1,981091,611555,0.6233417695198509,118.47370800023782,75.96304199978476,1.5596230072062347,16.937596899224808,0,0,0.993064,0.993064,3.8946,3.8946
picsum-72-p256-t1,256,1,763980,376993,0.4934592528600225,44.080292000217014,21.185582998441532,2.0806740132409702,12.147029702970297,0,0,0.998762,0.998762,0.385047,0.385047
picsum-73-p256-t1,256,1,500480,585854,1.1705842391304349,66.52983399908408,60.13387500024692,1.1063619964422864,3.6103286384976525,0,0,0.99092,0.99092,2.665414,2.665414
picsum-74-p256-t1,256,1,708201,486378,0.6867796007065791,76.26675000028627,53.38520899931609,1.4286119962790313,10.740580337808575,0,0,0.995698,0.995698,1.768814,1.768814
picsum-75-p256-t1,256,1,796821,609247,0.764597067597365,95.12962500048161,69.83166600002733,1.3622705922617453,10.039752005835156,0,0,0.994024,0.994024,3.976694,3.976694
picsum-76-p256-t1,256,1,1027716,635769,0.6186232383265415,140.8717920003255,101.2189169996418,1.3917535987944234,15.608910891089108,0,0,0.994719,0.994719,5.156011,5.156011
picsum-77-p256-t1,256,1,713464,585118,0.8201086529944047,73.73929200002749,61.09570799890207,1.2069471721541,5.503308823529411,0,0,0.994803,0.994803,3.219285,3.219285
picsum-78-p256-t1,256,1,947357,635747,0.6710743679521025,100.406915998974,65.2234999997745,1.5394285188516583,14.190043604651164,0,0,0.995865,0.995865,3.521362,3.521362
picsum-79-p256-t1,256,1,698620,338794,0.48494746786522,33.014541999364155,22.21441700021387,1.4861763871204139,6.798532731376976,0,0,0.997366,0.997366,0.350297,0.350297
picsum-80-p256-t1,256,1,334569,243355,0.7273686444350792,27.29166700009955,20.487208999838913,1.3321320146787266,4.717992103778905,0,0,0.995624,0.995624,0.384106,0.384106
picsum-81-p256-t1,256,1,983983,634692,0.6450233388178455,113.59824999999546,72.96433299961791,1.5569010957804594,15.101785714285716,0,0,0.995323,0.995323,3.007966,3.007966
picsum-82-p256-t1,256,1,586993,580798,0.9894462114539696,111.43491599978006,95.58229200047208,1.1658531477695646,6.1139551192145865,0,0,0.985814,0.985814,4.226803,4.226803
picsum-83-p256-t1,256,1,650953,522627,0.8028644157105045,65.65966700145509,50.743916999635985,1.2939416364315373,6.508474576271187,0,0,0.971661,0.971661,2.368646,2.368646
picsum-84-p256-t1,256,1,460949,500651,1.0861310036468244,66.00966599944513,58.629665998523706,1.1258748429695515,3.8731314679954,0,0,0.98039,0.98039,2.654975,2.654975
picsum-85-p256-t1,256,1,705612,561694,0.7960380492395254,69.27141699998174,54.25591600032931,1.2767532484302964,6.362981634857761,0,0,0.993504,0.993504,1.951858,1.951858
picsum-87-p256-t1,256,1,980910,619045,0.6310925569114394,69.84462499895017,46.3364580009511,1.5073362965619113,8.440513354144988,0,0,0.998362,0.998362,2.270799,2.270799
picsum-88-p256-t1,256,1,545030,354576,0.6505623543658148,30.728666999493726,20.801999999093823,1.4771977214129568,5.909321175278622,0,0,0.997355,0.997355,0.380778,0.380778
picsum-89-p256-t1,256,1,592923,585166,0.9869173568911983,78.75904100001208,64.40474999908474,1.2228762785529224,6.260144927536233,0,0,0.987132,0.987132,2.930079,2.930079
picsum-90-p256-t1,256,1,642106,609484,0.94919530420211,119.37483300062013,105.3896249995887,1.1327000451997624,7.286846846846847,0,0,0.985996,0.985996,3.974685,3.974685
picsum-91-p256-t1,256,1,500592,427785,0.8545582030875444,45.567458000732586,34.10624999924039,1.336044214821256,5.377670294236195,0,0,0.997072,0.997072,1.01873,1.01873
picsum-92-p256-t1,256,1,540233,587434,1.0873715600490899,90.78445900013321,79.83966700157907,1.137084639873782,5.173913043478261,0,0,0.984174,0.984174,3.709683,3.709683
picsum-93-p256-t1,256,1,930660,609902,0.6553435196527195,86.82524999858288,58.08854200040514,1.4947052724783023,11.832066869300913,0,0,0.995614,0.995614,3.131695,3.131695
picsum-94-p256-t1,256,1,733134,571676,0.7797701375191984,82.26300000023912,54.44241700024577,1.5110093293592708,11.250278914094459,0,0,0.995744,0.995744,2.930442,2.930442
