revision,platform,input,colors,config,label,family,quantize_option,encoded_bytes,bytes_vs_compat,command
f2c138d8f6aa0a90c89d019f85eaf9bb3efa5edb,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,32,center-fft,FFT,center,center:algo=fft:seed=1,80453,0.8812807396128862,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=center:algo=fft:seed=1 -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none -p 32 {input}
f2c138d8f6aa0a90c89d019f85eaf9bb3efa5edb,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,32,center-swap,swap,center,center:algo=swap:seed=1,88452,0.9689016441927463,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=center:algo=swap:seed=1 -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none -p 32 {input}
f2c138d8f6aa0a90c89d019f85eaf9bb3efa5edb,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,32,center-hybrid,hybrid,center,center:algo=hybrid:seed=1,85695,0.9387015149357549,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=center:algo=hybrid:seed=1 -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none -p 32 {input}
f2c138d8f6aa0a90c89d019f85eaf9bb3efa5edb,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,64,heckbert-compat,compat,heckbert,heckbert:profile=compat,122195,1.0,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=heckbert:profile=compat -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none -p 64 {input}
f2c138d8f6aa0a90c89d019f85eaf9bb3efa5edb,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,64,heckbert-speed,speed,heckbert,heckbert:profile=speed,122195,1.0,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=heckbert:profile=speed -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none -p 64 {input}
f2c138d8f6aa0a90c89d019f85eaf9bb3efa5edb,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,64,heckbert-quality,quality,heckbert,heckbert:profile=quality,147976,1.2109824460902656,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=heckbert:profile=quality -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none -p 64 {input}
f2c138d8f6aa0a90c89d019f85eaf9bb3efa5edb,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,64,kmeans,k-means,kmeans,kmeans:seed=1,133234,1.0903392119153812,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=kmeans:seed=1 -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none -p 64 {input}
f2c138d8f6aa0a90c89d019f85eaf9bb3efa5edb,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,64,medoids-pam,PAM,medoids,medoids:algo=pam:seed=1,134857,1.103621261099063,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=medoids:algo=pam:seed=1 -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none -p 64 {input}
f2c138d8f6aa0a90c89d019f85eaf9bb3efa5edb,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,64,medoids-sample,CLARA,medoids,medoids:algo=sample:seed=1,135066,1.105331642047547,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=medoids:algo=sample:seed=1 -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none -p 64 {input}
f2c138d8f6aa0a90c89d019f85eaf9bb3efa5edb,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,64,medoids-random,CLARANS,medoids,medoids:algo=random:seed=1,135066,1.105331642047547,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=medoids:algo=random:seed=1 -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none -p 64 {input}
f2c138d8f6aa0a90c89d019f85eaf9bb3efa5edb,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,64,medoids-bandit,BanditPAM,medoids,medoids:algo=bandit:seed=1,135066,1.105331642047547,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=medoids:algo=bandit:seed=1 -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none -p 64 {input}
f2c138d8f6aa0a90c89d019f85eaf9bb3efa5edb,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,64,center-fft,FFT,center,center:algo=fft:seed=1,115179,0.94258357543271,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=center:algo=fft:seed=1 -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none -p 64 {input}
f2c138d8f6aa0a90c89d019f85eaf9bb3efa5edb,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,64,center-swap,swap,center,center:algo=swap:seed=1,120839,0.9889029829371088,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=center:algo=swap:seed=1 -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none -p 64 {input}
f2c138d8f6aa0a90c89d019f85eaf9bb3efa5edb,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,64,center-hybrid,hybrid,center,center:algo=hybrid:seed=1,114750,0.9390727934858218,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=center:algo=hybrid:seed=1 -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none -p 64 {input}
f2c138d8f6aa0a90c89d019f85eaf9bb3efa5edb,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,128,heckbert-compat,compat,heckbert,heckbert:profile=compat,175276,1.0,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=heckbert:profile=compat -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none -p 128 {input}
f2c138d8f6aa0a90c89d019f85eaf9bb3efa5edb,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,128,heckbert-speed,speed,heckbert,heckbert:profile=speed,175276,1.0,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=heckbert:profile=speed -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none -p 128 {input}
f2c138d8f6aa0a90c89d019f85eaf9bb3efa5edb,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,128,heckbert-quality,quality,heckbert,heckbert:profile=quality,203351,1.160175951071453,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=heckbert:profile=quality -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none -p 128 {input}
f2c138d8f6aa0a90c89d019f85eaf9bb3efa5edb,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,128,kmeans,k-means,kmeans,kmeans:seed=1,185358,1.057520710194208,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=kmeans:seed=1 -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none -p 128 {input}
f2c138d8f6aa0a90c89d019f85eaf9bb3efa5edb,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,128,medoids-pam,PAM,medoids,medoids:algo=pam:seed=1,176532,1.0071658413017184,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=medoids:algo=pam:seed=1 -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none -p 128 {input}
f2c138d8f6aa0a90c89d019f85eaf9bb3efa5edb,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,128,medoids-sample,CLARA,medoids,medoids:algo=sample:seed=1,176891,1.0092140395718752,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=medoids:algo=sample:seed=1 -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none -p 128 {input}
f2c138d8f6aa0a90c89d019f85eaf9bb3efa5edb,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,128,medoids-random,CLARANS,medoids,medoids:algo=random:seed=1,176706,1.0081585613546635,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=medoids:algo=random:seed=1 -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none -p 128 {input}
f2c138d8f6aa0a90c89d019f85eaf9bb3efa5edb,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,128,medoids-bandit,BanditPAM,medoids,medoids:algo=bandit:seed=1,177661,1.0136071110705402,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=medoids:algo=bandit:seed=1 -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none -p 128 {input}
f2c138d8f6aa0a90c89d019f85eaf9bb3efa5edb,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,128,center-fft,FFT,center,center:algo=fft:seed=1,158723,0.9055603733540245,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=center:algo=fft:seed=1 -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none -p 128 {input}
