fixture,mode,threads,iteration,position,encode_ms,decode_ms
snake-fhd,256-none,8,1,3,36.070209,5.09425
revisit,high,8,1,4,9.70025,3.2425
revisit,256-fs,8,1,5,8.041375,0.978667
revisit,256-none,8,1,6,7.234459,0.440625
gray,high,8,1,7,0.380083,0.277375
gray,256-fs,8,1,8,0.900084,0.255125
gray,256-none,8,1,9,0.792708,0.268791
gradient,high,8,1,10,2.700875,1.06875
gradient,256-fs,8,1,11,10.546541,1.301542
gradient,256-none,8,1,12,4.792292,0.494541
autumn,high,8,1,13,16.34375,4.173959
autumn,256-fs,8,1,14,9.947875,2.170625
autumn,256-none,8,1,15,8.960333,2.060291
snake,high,8,1,16,15.006583,4.599959
snake,256-fs,8,1,17,15.628292,1.8855
snake,high,8,2,0,14.721916,4.528958
autumn,256-none,8,2,1,9.305625,1.943959
autumn,256-fs,8,2,2,10.016958,2.140833
autumn,high,8,2,3,16.044167,3.892458
gradient,256-none,8,2,4,4.74175,0.473917
gradient,256-fs,8,2,5,10.77125,1.192042
gradient,high,8,2,6,2.835958,1.088042
gray,256-none,8,2,7,0.95475,0.281708
gray,256-fs,8,2,8,0.929167,0.306791
gray,high,8,2,9,0.404333,0.246333
revisit,256-none,8,2,10,7.278625,0.464459
revisit,256-fs,8,2,11,7.775541,0.896042
revisit,high,8,2,12,9.512375,3.311416
snake-fhd,256-none,8,2,13,34.968334,5.2295
snake-fhd,256-fs,8,2,14,62.094042,9.8345
snake-fhd,high,8,2,15,62.418584,17.398958
snake,256-none,8,2,16,11.075208,1.596167
snake,256-fs,8,2,17,16.265542,1.932125
snake,high,8,3,0,14.873792,4.504125
snake,256-fs,8,3,1,16.009166,1.964334
snake,256-none,8,3,2,10.887167,1.522542
snake-fhd,high,8,3,3,59.033167,16.972041
snake-fhd,256-fs,8,3,4,61.706167,8.713833
snake-fhd,256-none,8,3,5,34.581541,4.421667
revisit,high,8,3,6,9.617459,3.3745
revisit,256-fs,8,3,7,8.059292,0.960458
revisit,256-none,8,3,8,7.319375,0.415209
gray,high,8,3,9,0.369959,0.267041
gray,256-fs,8,3,10,0.914459,0.225208
gray,256-none,8,3,11,0.85025,0.253708
gradient,high,8,3,12,2.704167,1.082625
gradient,256-fs,8,3,13,10.599292,1.096375
gradient,256-none,8,3,14,4.841375,0.411667
autumn,high,8,3,15,16.140125,3.997125
autumn,256-fs,8,3,16,9.449042,1.921958
autumn,256-none,8,3,17,8.52575,1.717416
autumn,256-fs,8,4,0,9.39725,1.815958
autumn,high,8,4,1,15.836666,4.002583
gradient,256-none,8,4,2,4.690458,0.401084
gradient,256-fs,8,4,3,10.674042,1.120583
gradient,high,8,4,4,2.754667,1.005709
gray,256-none,8,4,5,0.800834,0.282958
gray,256-fs,8,4,6,0.914334,0.293459
gray,high,8,4,7,0.415042,0.273792
revisit,256-none,8,4,8,7.284042,0.425625
revisit,256-fs,8,4,9,8.001,0.913291
revisit,high,8,4,10,9.181917,3.277209
snake-fhd,256-none,8,4,11,35.561834,4.501875
snake-fhd,256-fs,8,4,12,62.396833,8.667708
snake-fhd,high,8,4,13,58.145917,17.006584
snake,256-none,8,4,14,10.654959,1.49025
snake,256-fs,8,4,15,15.572209,1.821334
snake,high,8,4,16,14.693625,4.442542
autumn,256-none,8,4,17,8.384458,1.709167
autumn,256-fs,8,5,0,9.379417,1.807167
autumn,256-none,8,5,1,8.756958,1.762917
snake,high,8,5,2,14.876667,4.416166
snake,256-fs,8,5,3,15.354375,1.891
snake,256-none,8,5,4,10.9905,1.492792
snake-fhd,high,8,5,5,58.517375,17.087166
